Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
DJ2DMQ13PE4TE,All Purpose Cleaner,,,$4.99,Fixed,,$0.00,043318130229,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
DPWYHD4YFDDFC,Aloe Vera,,,$4.29,Fixed,,$0.00,048155921511,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
913KVQ6D1NP0W,Aqua Net Extra Super Hold Unscented,,,$5.99,Fixed,,$0.00,067990600115,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
E7702Z26A6KM0,Aqua Net Super Hold Fresh Scent,,,$5.99,Fixed,,$0.00,067990600139,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
FZ7GR6W14KVAP,Baby Love Oil,,,$2.99,Fixed,,$0.00,048155921283,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
VM4MV0NGXMM3T,Baby Love Wipes 80,,,$3.49,Fixed,,$0.00,048155908222,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
W2CE57QQT3NK8,Baby Shampoo,,,$3.99,Fixed,,$0.00,037836084591,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
F8QP1Z0QAG48A,Blistex,,,$2.99,Fixed,,$0.00,041388210216,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
318GPX95YPR64,Chinet Plate,,,$9.99,Fixed,,$0.00,037700326109,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
W689KE0JS216T,Colgate Cavity Protection 2.5oz,,,$3.19,Fixed,,$0.00,035000511058,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
QGE8AJJGG52S4,Colgate Etra Clean Brush,,,$2.99,Fixed,,$0.00,035000551146,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
E8NQ90QW00QFP,Fabuloso,,,$3.29,Fixed,,$0.00,035000531063,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
A0WHKP8VNFKN2,Febreze Air Hawaiian Aloha,,,$4.19,Fixed,,$0.00,037000962601,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
6J2VTF6J4WK9P,Febreze Air Pet Odor Eliminator,,,$4.19,Fixed,,$0.00,037000787372,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
9QSZYB5YN8JFG,Febreze Car Linen & Sky,,,$3.99,Fixed,,$0.00,037000811138,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
ZMS61RXWF57KP,Finger Cliper,,,$2.75,Fixed,,$0.00,071603125001,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
E8X5PS5X22JZR,Gald Tall Kitchen Bags,,,$5.99,Fixed,,$0.00,012587000700,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
CSCTWWSN93AT6,Gillette  Mack3,,,$11.99,Fixed,,$0.00,047400648517,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
G6R5JZ57MKKVY,Gillette Mach 3,,,$15.99,Fixed,,$0.00,047400044722,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
MJZRMF6G7KPHP,Glad Quick Tie Large Trash Bag,,,$5.99,Fixed,,$0.00,012587000809,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
P1WGHPN9EHFMG,Grisi Crm,,,$4.19,Fixed,,$0.00,037836000355,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
W42104RY6EVSC,Head And Shoulders Classic Clean 13.5fl,,,$8.99,Fixed,,$0.00,037000062035,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
TQ2NEWGQTJEW2,Head N Shoulder Classic 13.5oz,,,$9.99,Fixed,,$0.00,037000061946,,,No,No,No,,,Beauty & Cleaning Stuff,Tax And Fees,,
